NotificationID,Title,Message,SendDate,UserID,StatusID,Type
1,Sales Report,Thank you for your purchase! We hope you enjoy your new product.,15/01/2023,1,1,Email
2,Quarterly Meeting,Reminder: Your quarterly meeting is scheduled for tomorrow at 10:00 AM.,20/02/2023,2,2,SMS
3,Project Update,We've made great progress on the project. Check out the latest updates.,5/03/2023,3,3,Push Notification
4,Team Workshop,Join us for a team workshop on improving collaboration and productivity.,10/04/2023,4,4,In-App Message
5,Marketing Campaign,Our exciting new marketing campaign is launching next week. Stay tuned!,15/05/2023,5,5,Phone Call
6,Financial Review,Please review the financial report attached for our year-end review.,20/06/2023,6,6,Alert
7,Product Launch,Get ready for the big product launch event happening this Friday!,25/07/2023,7,7,Reminder
8,Customer Survey,We'd love to hear your feedback. Take our customer survey today.,30/08/2023,8,8,Update
9,Training Session,Don't miss the training session on new software tools this Thursday.,5/09/2023,9,9,Announcement
10,Board Meeting,Our next board meeting is scheduled for Monday. Prepare your reports.,10/10/2023,10,10,Confirmation
11,Product Roadmap,Check out the latest product roadmap to see what's coming up.,15/11/2023,11,11,Warning
12,Employee Recognition,Employee recognition: Congrats to John for outstanding performance!,20/12/2023,12,12,Information
13,New Hire Orientation,Welcome to our new hires. Join the orientation session on Friday.,25/01/2024,13,13,Error
14,Product Demo,Get a sneak peek at our latest product with a live demo next week.,1/02/2024,14,14,Subscription Renewal
15,Quality Assurance,Quality assurance is our top priority. Read our latest QA report.,15/03/2024,15,15,Event Invitation
16,Company Picnic,"Save the date for our annual company picnic on Saturday, June 15th.",20/04/2024,16,16,Payment Confirmation
17,Annual Review,It's time for your annual performance review. Schedule a meeting.,25/05/2024,17,17,Password Reset
18,Strategic Planning,Join us for strategic planning to shape our company's future.,30/06/2024,18,18,Account Activation
19,Promotion Announcement,We're excited to announce new promotions in the team. Congrats!,5/07/2024,19,19,Account Deactivation
20,Holiday Party,RSVP for our holiday party on December 20th. It's going to be a blast!,10/08/2024,20,20,Order Shipment
21,Technical Support,Our technical support team is here to assist you 24/7. Contact us.,15/09/2024,21,21,Appointment Reminder
22,Budget Proposal,We're seeking your input on our budget proposal. Share your thoughts.,20/10/2024,22,22,News Update
23,Marketing Strategy,A new marketing strategy is in the works. Stay tuned for updates.,25/11/2024,23,23,Promotional Offer
24,Customer Feedback,Your feedback matters! Please complete our customer survey.,1/12/2024,24,24,Feedback Request
25,Employee Training,Employee training sessions are scheduled for next month. Sign up!,15/01/2025,25,25,Product Review Request
26,Sales Presentation,Our sales presentation will showcase our latest products. Don't miss it.,20/02/2025,26,26,Emergency Alert
27,Team Building,Team building activities are planned for next Friday. Join us!,25/03/2025,27,27,System Maintenance
28,Product Release,We're thrilled to announce the release of our new product version.,30/04/2025,28,28,Account Login
29,Performance Review,It's time for your annual performance review. Schedule a meeting.,5/05/2025,29,29,Account Logout
30,Customer Service,Our customer service team is available to assist you. Contact us.,10/06/2025,30,30,Survey Request
