"ProductID,ProductName,Description,Price,Type,StockQuantity,BusinessID"
"1,Smartphone,High-end smartphone with the latest features,799.99,Electronics,50,1"
"2,Latte,Espresso-based coffee with steamed milk,3.99,Coffee,100,2"
"3,Legal Services,Legal consultation and representation,150.00,Services,Unlimited,3"
"4,Artisanal Bread,Freshly baked artisanal bread,6.99,Food,75,4"
"5,Laptop,Powerful laptop for work and entertainment,1099.99,Electronics,30,5"
"6,Flower Pot,Decorative flower pot for home or office,19.99,Home & Garden,150,6"
"7,Auto Inspection,Comprehensive vehicle inspection service,79.99,Services,Unlimited,7"
"8,Travel Package,All-inclusive travel package for a tropical vacation,1999.99,Travel,10,8"
"9,Construction Services,General construction and remodeling services,500.00,Services,Unlimited,9"
"10,Medical Services,Medical consultation and check-ups,75.00,Health,Unlimited,10"
"11,Book,Classic novel by a renowned author,12.99,Books,50,11"
"12,Art Print,High-quality art print for your wall decor,29.99,Art,25,12"
"13,Organic Groceries,Organic fruits and vegetables bundle,49.99,Food,50,13"
"14,Auto Repair,Auto repair and maintenance services,99.99,Services,Unlimited,14"
"15,Real Estate Listing,Residential property listing for sale,349,000.00,Real Estate,10,15"
"16,Espresso Machine,High-end espresso machine for coffee enthusiasts,499.99,Coffee,15,16"
"17,Dog Grooming,Grooming services for your furry friend,49.99,Pets,Unlimited,17"
"18,Computer Software,Productivity software suite for businesses,299.99,Software,20,18"
"19,Gardening Tools,Essential tools for gardening and landscaping,39.99,Home & Garden,100,19"
"20,Beach Towel,Colorful and absorbent beach towel,14.99,Beach Accessories,200,20"
"21,Bicycle,High-quality mountain bike for outdoor adventures,599.99,Sports & Outdoors,20,21"
"22,Fine Dining Experience,Fine dining experience for two with gourmet cuisine,149.99,Food,10,22"
"23,Scuba Diving Tour,Guided scuba diving tour in exotic waters,299.99,Travel,15,23"
"24,Specialty Cakes,Custom-designed specialty cakes for all occasions,49.99,Food,30,24"
"25,Fitness Membership,Monthly gym and fitness club membership,29.99,Fitness,200,25"
"26,Fashion Clothing,Trendy fashion clothing for men and women,49.99,Fashion,50,26"
"27,Software Development,Custom software development and programming,999.99,Services,Unlimited,27"
"28,Coffee Beans,Premium coffee beans for home brewing,12.99,Coffee,100,28"
"29,Car Rental,Car rental service for a weekend getaway,39.99,Travel,25,29"
"30,Health Supplements,Nutritional supplements for wellness and fitness,29.99,Health,100,30"
